loan,housing,default,is_telephone_contact
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
1,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,1,0,1
1,1,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
1,0,0,1
0,1,0,1
0,0,0,1
1,1,0,1
1,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
1,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,0,0,1
0,0,0,1
1,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
1,1,0,1
1,0,0,1
0,0,0,1
1,1,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
1,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
1,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
1,1,0,1
0,1,0,1
1,0,0,1
0,1,0,1
1,0,0,1
1,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
1,1,0,1
1,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
1,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
1,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,0,0,1
0,0,0,1
1,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
1,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,1,0,1
0,0,0,1
0,1,0,1
0,0,0,1
0,1,0,1
