core_temp,hyd_pressure,voltage_draw,sync_rate,coolant_level,vibration,operating_hours,failure
57.45,1475.3,597.8,92.96,51.2,3.024,4349.9,1
65.68,1126.4,618.4,85.02,322.4,7.373,4460.8,1
54.74,1884.5,424.5,78.4,498.5,3.805,3588.2,0
40.29,1210.2,480.2,83.17,253.4,4.396,936.2,0
54.55,1717.8,576.0,99.16,370.9,1.593,447.7,0
53.84,1781.5,594.5,93.62,149.5,1.294,659.8,0
78.6,1782.1,605.5,99.85,373.5,3.413,4654.2,0
60.76,2042.3,697.7,93.24,98.6,0.485,4106.2,0
69.18,1550.2,468.4,92.45,104.1,2.256,4593.0,1
66.26,1448.3,553.8,100.0,119.3,7.15,3416.4,0
78.27,1029.7,582.5,80.0,487.6,2.594,4279.5,0
71.61,1803.7,568.7,91.57,499.6,4.694,1295.1,0
48.11,1391.8,494.2,87.28,183.9,3.431,4393.6,0
68.09,1853.5,591.0,99.02,,3.44,3091.6,0
55.09,2356.7,339.2,100.0,106.9,2.161,2569.2,0
34.05,1970.4,490.0,88.66,127.7,2.257,1839.2,0
83.6,1027.7,315.1,84.88,357.0,1.033,4406.6,0
36.22,1392.3,592.0,82.5,258.2,5.587,635.0,0
51.29,1342.1,632.5,99.45,245.4,3.862,3922.1,0
-5.047228439927288,1146.6,485.3,81.26,82.3,0.786,718.6,0
57.83,1677.2,471.1,90.89,144.0,0.371,1117.4,0
48.63,1676.4,515.1,94.48,240.7,0.213,2967.1,0
43.02,1661.2,635.0,96.06,435.2,0.816,1216.2,0
45.85,1175.8,483.8,88.6,140.0,1.371,3365.2,0
89.56,1540.4,551.7,85.9,381.7,4.928,1274.0,0
69.71,1869.0,624.0,100.0,227.1,0.627,273.2,0
78.16,904.6,568.1,89.64,448.8,5.547,1105.2,0
80.88,2190.9,571.4,100.0,412.7,1.854,4722.1,0
57.49,1701.0,441.3,,122.2,0.914,2630.9,0
36.33,1528.2,614.6,83.8,432.9,2.794,4463.7,0
60.7,1050.7,396.8,86.93,470.8,2.754,1257.8,0
86.66,1749.5,415.0,,207.4,1.876,2757.8,0
58.07,1576.3,522.0,98.29,51.1,3.935,4170.8,1
33.11,1950.9,413.9,86.55,359.6,4.633,4139.4,0
54.12,990.0,297.6,87.73,372.1,1.773,1739.9,0
62.47,1639.7,340.2,89.88,265.8,1.858,1626.3,0
64.53,909.8,402.2,96.99,367.4,2.44,1128.2,0
72.74,1736.9,613.7,85.17,92.4,4.955,1610.6,1
51.76,1330.2,479.2,94.08,203.0,3.128,1529.4,0
61.12,1151.0,493.1,87.73,223.9,4.281,2123.5,0
47.49,1419.7,470.8,100.0,387.5,,1595.0,0
65.78,1152.8,447.0,,117.0,2.356,2848.3,0
73.9,1303.9,612.6,99.45,272.8,3.629,1387.7,0
42.79,2266.4,632.3,80.89,238.6,1.48,2107.9,0
70.76,1411.9,765.8,88.65,352.8,1.814,641.1,0
57.42,1900.7,533.6,94.58,148.0,4.94,102.8,0
59.92,576.0,594.5,92.61,263.5,5.268,1743.4,0
71.72,1468.3,470.4,100.0,313.2,1.95,2840.8,0
77.24,1662.1,473.8,96.89,214.1,3.423,1650.6,0
100.9,2129.6,279.0,82.03,67.3,4.606,484.1,1
76.15,1621.0,585.6,91.8,334.8,4.086,1646.4,0
61.72,1394.2,563.5,100.0,281.1,3.14,2135.7,0
70.86,1049.9,420.2,83.06,384.1,4.895,3203.1,0
60.86,1337.5,460.6,88.98,87.1,2.078,1046.3,0
65.71,1356.1,514.7,90.99,253.6,0.33,4734.4,0
66.32,1568.5,569.2,100.0,391.9,2.584,3171.1,1
41.3,896.2,441.8,97.72,367.9,3.815,4433.8,0
66.86,1708.3,691.2,83.55,490.6,2.187,617.3,0
53.45,1426.2,484.6,95.72,180.4,4.442,137.0,0
72.17,1990.1,413.9,97.99,269.8,,2343.8,0
60.22,1334.2,479.5,86.65,281.5,5.444,4839.2,0
83.63,1514.9,620.8,94.44,188.8,0.385,4266.2,0
