AveBedrms,MedInc,HouseAge,MEDV
1.0238095238095237,8.3252,41.0,4.526
0.9718804920913884,8.3014,21.0,3.585
1.073446327683616,7.2574,52.0,3.521
1.0730593607305936,5.6431,52.0,3.413
1.0810810810810811,3.8462,52.0,3.422
1.1036269430051813,4.0368,52.0,2.697
0.9513618677042801,3.6591,52.0,2.992
1.061823802163833,3.12,52.0,2.414
1.1176470588235294,2.0804,42.0,2.267
0.9901960784313726,3.6912,52.0,2.611
1.0796019900497513,3.2031,52.0,2.815
1.0245231607629428,3.2705,52.0,2.418
1.0128205128205128,3.075,52.0,2.135
1.0977011494252873,2.6736,52.0,1.913
1.0096774193548388,1.9167,52.0,1.592
1.071969696969697,2.125,50.0,1.4
1.0483383685800605,2.775,52.0,1.525
0.966996699669967,2.1202,52.0,1.555
1.0859188544152745,1.9911,50.0,1.587
1.0836363636363637,2.6033,52.0,1.629
1.108433734939759,1.3578,40.0,1.475
1.0027322404371584,1.7135,42.0,1.598
1.1317991631799162,1.725,52.0,1.139
1.0369230769230768,2.1806,52.0,0.997
1.0355450236966826,2.6,52.0,1.326
1.0336134453781514,2.4038,41.0,1.075
1.0209205020920502,2.4597,49.0,0.938
1.0604534005037782,1.808,52.0,1.055
1.040169133192389,1.6424,50.0,1.089
1.032258064516129,1.6875,52.0,1.32
1.1825396825396826,1.9274,49.0,1.223
1.090702947845805,1.9615,52.0,1.152
1.2208955223880598,1.7969,48.0,1.104
1.1124620060790273,1.375,49.0,1.049
1.0708955223880596,2.7303,51.0,1.097
1.0681818181818181,1.4861,49.0,0.972
1.1550802139037433,1.0972,48.0,1.045
0.967741935483871,1.4103,52.0,1.039
1.0679611650485437,3.48,52.0,1.914
1.0272988505747127,2.5898,52.0,1.76
1.0607594936708862,2.0978,52.0,1.554
1.248995983935743,1.2852,51.0,1.5
1.0687830687830688,1.025,49.0,1.188
1.02020202020202,3.9643,52.0,1.888
1.0650684931506849,3.0125,52.0,1.844
1.0994764397905759,2.6768,52.0,1.823
1.0592105263157894,2.026,50.0,1.425
1.233201581027668,1.7348,43.0,1.375
1.21875,0.9506,40.0,1.875
1.0653409090909092,1.775,40.0,1.125
1.0342465753424657,0.9218,21.0,1.719
1.1203931203931203,1.5045,43.0,0.938
1.1847222222222222,1.1108,41.0,0.975
1.14,1.2475,52.0,1.042
1.0085836909871244,1.6098,52.0,0.875
1.1045454545454545,1.4113,52.0,0.831
1.111969111969112,1.5057,52.0,0.875
1.3729508196721312,0.8172,52.0,0.853
1.1217105263157894,1.2171,52.0,0.803
0.7543859649122807,2.5625,2.0,0.6
1.1283422459893049,3.3929,52.0,0.757
1.2608695652173914,6.1183,49.0,0.75
1.5573770491803278,0.9011,50.0,0.861
1.490566037735849,1.191,52.0,0.761
1.368421052631579,2.5938,48.0,0.735
1.1176470588235294,1.1667,52.0,0.784
1.0662650602409638,0.8056,48.0,0.844
