UDI,Product ID,Type,Cooling temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Lubricant pressure [bar],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Air temperature [K]
9255,L56434,L,393.2765578,309.1,1616,31.1,5.117555856,195,,0,0,0,0,298.3
1562,L48741,L,106.8329,308.4,1388,53.8,4.415554541,137,0,0,0,0,0,298.2
1671,L48850,L,140.6665538,307.8,1528,31.1,4.954007228,194,0,0,0,0,0,298.2
6088,M20947,M,173.704231,310.8,1599,33,4.662550381,7,0,0,0,0,0,300.9
6670,L53849,L,180.1589491,310.5,1571,33.9,6.885536189,208,0,0,0,0,0,301.4
5934,L53113,L,330.3960429,310.5,1373,47.4,9.395991432,56,0,0,0,0,0,300.5
8830,M23689,M,124.5449012,308.8,1469,44.1,1.473890306,150,0,0,0,0,0,297.3
7946,L55125,L,321.9291774,311.7,1655,32.2,8.611745223,12,0,0,0,0,0,300.8
3509,L50688,L,261.9633696,310.9,1608,33,4.550093414,160,0,0,0,0,0,301.7
2003,L49182,L,174.3260484,308.2,1654,27.1,5.575328725,13,0,0,0,0,0,298.5
5867,L53046,L,230.6791528,311.1,1459,45.1,2.294790238,97,0,0,0,0,0,301.5
169,L47348,L,229.3996221,308.3,1433,62.3,6.976930073,20,0,0,1,0,0,298.4
2589,L49768,L,189.4637531,308.7,1706,28.6,1.554401303,206,0,0,0,0,0,299
5906,H35319,H,289.7955525,310.5,1582,,4.692487164,193,0,0,0,0,0,300.8
9530,L56709,L,338.672719,310.3,1459,46.7,3.504157187,84,0,0,0,0,0,299.1
6385,H35798,H,310.1982049,309.6,1463,45.1,1.183766899,113,0,0,0,0,0,
7825,L55004,L,246.5160406,311.3,1535,38.1,4.600940102,160,0,0,0,0,0,299.9
9780,L56959,L,189.9117192,309.8,1509,36.2,3.032003467,57,,0,0,0,0,298.8
4630,L51809,L,303.3057891,311.2,1735,26.1,9.942438375,194,0,0,0,0,0,303
8561,L55740,L,252.7952224,309,1408,45.4,1.934384663,98,0,0,0,0,0,298.3
9292,L56471,L,306.075028,309,1353,57.8,6.433116229,89,0,0,0,0,0,298.2
6875,H36288,H,154.5998637,311.3,1295,58.9,1.999889487,77,0,0,0,0,0,300.9
6522,L53701,L,174.0736652,310.1,1666,27.2,3.815541076,40,0,0,0,0,0,301.1
8980,M23839,M,134.5017583,307.5,1332,51.1,7.24310805,121,0,0,0,0,0,296.9
6648,L53827,L,356.4834512,310.5,1927,22.4,4.338415448,149,0,0,0,0,0,301.5
9826,L57005,L,363.6185566,309.2,1610,32.4,3.96961808,194,0,0,0,0,0,298.4
211,L47390,L,228.9169655,308.7,1523,36.1,3.020407844,126,0,0,0,0,0,298.4
5279,M20138,M,304.3328306,312.9,1618,30.4,2.526883195,130,0,0,0,0,0,
1920,L49099,L,167.3452289,308,1658,30,1.127170557,3,0,0,0,0,0,298.2
719,L47898,L,337.793024,308.8,1477,39,7.572904212,127,0,0,0,0,0,297.5
4869,L52048,L,259.7330315,312.4,1418,46,6.366782809,128,0,0,0,0,0,303.6
7835,L55014,L,346.5333603,311.4,1483,45.6,9.174468733,187,0,0,0,0,0,300
1299,M16158,M,249.7856639,309.8,1343,53.6,1.26173417,134,0,0,0,0,0,
9194,M24053,M,368.0024473,309,1530,40.9,3.939808505,42,0,0,0,0,0,297.9
4618,M19477,M,288.1162931,311.4,1831,23.3,5.91789668,161,0,0,0,0,0,303.1
3129,M17988,M,213.5689526,309.5,1462,42.8,1.749198389,50,0,0,0,0,0,300.1
9796,L56975,L,122.5310958,309.3,1623,,9.908504703,109,0,0,0,0,0,298.5
3980,L51159,L,261.808667,311.3,1439,41.8,1.101189613,96,0,0,0,0,0,302.3
9925,M24784,M,123.2113378,308.6,1384,54.4,8.842283764,44,0,0,0,0,0,298.5
8318,L55497,L,163.1263832,309.7,1667,30.4,7.464709171,92,0,0,0,0,0,298.7
4394,M19253,M,147.9526629,310.1,1572,,1.697085648,17,0,0,0,0,0,302.2
1288,L48467,L,356.2425959,309.6,1419,41.5,5.535634361,105,0,0,0,0,0,298.5
4356,H33769,H,371.5213952,309.8,1280,57.3,6.603946908,147,0,1,0,0,0,302
7014,M21873,M,100.755677,310.4,1544,36.3,4.4241479,21,0,0,0,0,0,300.4
3886,L51065,L,237.7143067,311.5,1677,29.2,1.611536879,49,0,0,0,0,0,302.5
5750,H35163,H,293.4585831,311.8,1330,,7.877287119,31,0,0,0,0,0,302.2
9170,L56349,L,119.5394566,308.8,1896,24.5,5.518560821,186,0,0,0,0,0,
2408,M17267,M,342.6770972,308.6,1499,45.1,6.953889443,185,0,0,0,0,0,299.1
2014,L49193,L,113.5650911,308.4,1485,,5.778989628,38,0,0,0,0,0,298.6
5154,L52333,L,127.9421396,313.4,1644,31.7,8.926181233,23,0,0,0,0,0,304.2
8552,M23411,M,318.9860714,309.1,1457,49,7.045285222,77,0,0,0,0,0,298.2
